夏天,time_prper,relative,FALSE,FALSE,2018/11/1 12:00,2018/6/15 0:00,2018/9/14 23:59,error
复活节,time_prper,relative,FALSE,FALSE,2018/11/1 12:00,2018/4/1 0:00,2018/4/1 23:59,error
教师节,time_prper,relative,FALSE,FALSE,2018/11/1 12:00,2018/9/10 0:00,2018/9/10 23:59,error
清明,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/4/5 0:00,2018/4/5 23:59,
端午节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/6/7 0:00,2019/6/7 23:59,
中秋节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/9/13 0:00,2019/9/13 23:59,
国庆节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/1 0:00,2019/10/1 23:59,error
情人节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/2/14 0:00,2019/2/14 23:59,error
儿童节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/6/1 0:00,2019/6/1 23:59,error
重阳,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/7 0:00,2019/10/7 23:59,
暑假,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/7/1 0:00,2019/8/31 23:59,error
七夕情人节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/8/7 0:00,2019/8/7 23:59,
十一假期,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/1 0:00,2019/10/7 23:59,error
清明节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/4/5 0:00,2018/4/5 23:59,
母亲节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/5/12 0:00,2018/5/12 23:59,error
父亲节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/6/16 0:00,2018/6/16 23:59,error
农历七夕节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/8/7 0:00,2019/8/7 23:59,error
端午,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/6/7 0:00,2019/6/7 23:59,
秋天,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/9/15 12:00,2019/12/14 23:59,error
国庆长假,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/1 0:00,2019/10/7 23:59,error
重阳节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/7 0:00,2019/10/7 23:59,
十一国庆节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/1 0:00,2019/10/1 23:59,error
双十一,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/11/11 0:00,2019/11/11 23:59,error
中秋,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/9/13 0:00,2019/9/13 23:59,
国庆节左右,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/1 0:00,2019/10/1 23:59,error
七夕,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/8/7 0:00,2019/8/7 23:59,
七夕节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/8/7 0:00,2019/8/7 23:59,
愚人节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/4/1 0:00,2019/4/1 23:59,error
劳动节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/5/1 0:00,2019/5/1 23:59,error
国庆期间,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/10/1 0:00,2019/10/7 23:59,error
建军节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/9/1 0:00,2019/9/1 23:59,error
圣诞节,time_prper,relative,FALSE,FALSE,2019/11/1 12:00,2019/12/25 0:00,2019/12/25 23:59,error
